,PHAL,PHAR,PHBL,PHBR,R2BL,R2BR,R3BR,R4BL,R4BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R1BL,R1BR,R3BL,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R9BL,R9BR,R1AL,R1AR,R2AL,R2AR,R3AL,R3AR,R4AL,R4AR,R5AL,R5AR,HOA,HOB,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,LUAL,LUAR,CP07,CP08,CP09,CA02,CA03,CA04,CA05,CA06,PVY,PVX,PVV,PDA,PDB,PDC,AS11,PVZ,CP01,CP02,CP03,CP04,CP05,CP06,DX1,DX2,DX3,DVB,DVC,DVE,DVF,EF1,EF2,EF3,AVG,AVL,PVS,PVU,PVT,AN3a,AN3b,PVNL,PVNR,CA07,CA08,CA09,PGA,PHCL,PHCR,ALNL,ALNR,PLML,PLMR,PLNL,PLNR,PQR,PVM,PVDL,PVDR,PDEL,PDER,PVR,AVKL,AVKR,DVA,PVWL,PVWR,AN1a,AN1b,AN2a,AN2b,PVQL,PVQR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,PVCL,PVCR,DA04,DA05,DA06,DA07,DA08,DA09,DB03,DB04,DB05,DB06,DB07,DD03,DD04,DD05,DD06,AS08,AS09,AS10,VA08,VA09,VA10,VA11,VA12,VB05,VB06,VB07,VB08,VB09,VB10,VB11,VD09,VD10,VD11,VD12,VD13
PHAL,,18,1,,,,41,,,3,13,,,9,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,5,,,,,,,,,43,,,,,,,,,,,,,3,,,,,,,,,44,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,21,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHAR,4,,,20,,,3,,,7,6,,,,,,2,1,,,,,,6,,,,,60,,,,,,,,,,,,,,2,2,,,,,,,,,,,2,6,21,,,,,,,,3,23,,1,,,,27,,,,,,,,,,,,,,44,37,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,1,4,,,,,,,15,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHBL,10,,,7,,,24,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,,,,,,,,13,,,,,,,,,,9,23,,,,,,,,,,,,,13,,4,,,3,1,,,24,8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHBR,,7,5,,,,4,,,,,,,,6,,,,,,,,,,,,,,13,,,,,,,,,,,,7,,,11,,,,,,,,,,,6,2,6,,,,,,,,4,7,,,10,,,,,,,,,,,,,,,11,,9,24,,7,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2BL,,,,,36,2,,17,10,29,2,7,15,5,,2,,,,,30,,2,,2,,38,,,2,2,,,,17,,18,,,,,,,,4,,,,10,,3,,,,99,1,,3,,,,,,,27,8,,,,,,,5,3,23,,,,,,,,,,2,10,,33,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2BR,,,,,,17,,7,1,6,19,,17,,,,,,,,,10,,,15,20,1,19,,,,,,,,12,,6,,,5,12,2,12,,33,,,,5,,5,,,,86,,,,,,39,2,,41,,,,9,,,28,,,,26,,,,,,,,,,9,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3BR,12,,10,4,,,1,,,,,6,1,16,2,,,2,,7,,,,,,,,,,,,2,,,,12,,,,1,,,2,,3,,,,,,,,,,15,10,13,2,3,,,,,,14,39,9,,,,,2,,,,1,,,,,13,,,,,,22,98,3,,,,,,4,38,,,,,4,,,,,,,,,6,,,,,,,,,,,,,7,,,,,14,,,,,,,,,,,,,2,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
R4BL,,,,,1,5,,,1,6,,10,7,,,,,,2,,,,1,,,1,4,2,3,,3,,,,17,,6,,,,,,,,,,,,,,,,,,19,20,,,,,,,,,14,,,,6,,,,,4,4,,,,,,,,,,,18,2,5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4BR,,,,,18,20,,2,3,,,12,17,,,,,,,,,34,,,,1,,1,3,,,,,,,21,,1,,,,,,,,,,,,,,,2,,19,12,,,,,,,,,7,,,,4,,21,,,,5,,,,,,,,,,,20,15,11,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R8AL,,,,,6,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,24,13,,,,,,,,,,,47,14,,,1,,,,,,1,21,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R8AR,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,,3,,,,,,,,,,61,,,,,,,,,,12,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R8BL,,,,,1,1,,11,19,5,,18,8,,5,,,,,1,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,33,4,,3,2,,,,,,11,2,2,,16,,,,3,,,,,,,,2,,,,,17,,75,,,,,,,,29,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R8BR,,,,,13,9,,4,10,2,9,19,17,1,4,,,,,,,,,,,,11,2,7,,,,,1,,,,,,,,,,1,,,,4,,,,2,,2,7,58,,3,,,,1,,,,7,11,,,,,1,,,,,,,,,,,,,,108,28,21,,,,,,,,19,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R9AL,,,,,4,,,2,,6,,10,,,,,,,,,,,,,,,2,,9,,,,,,,,,,,,1,7,21,,,,,,,,,,,,26,,,8,1,,,,,,11,13,13,,6,,,,,,,,,,4,,10,,,,7,1,,19,,,,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9AR,,,,,1,,4,,,,24,4,6,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,5,1,3,14,,2,,,,,,,,,14,35,25,13,9,,,9,1,,4,27,26,,,,,,,5,,,,,,,,,,,,,2,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1BL,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,8,,1,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1BR,,2,,,,3,5,,,,,,,,7,,39,,,24,,3,10,72,,,2,13,6,2,,2,,20,,,,3,,,,,,12,,,,,,,,,,,,,,,1,,,,,,16,2,17,,2,10,,,,,,,,,,,,,,1,,,21,29,14,,6,,,59,2,9,13,,,,,,5,,,,,,,4,,,5,3,,,,,25,6,6,,,,,,,1,5,,,,1,,20,,,,,,30,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,
R3BL,,,,,,,,1,,,,,,,3,,5,,2,,1,,29,5,,,,8,,10,10,,,,9,,4,,3,,,10,,,,2,,,,,,,,,,,9,,,,,,,,,,25,,8,,,,,,,,,,,28,,,,,,60,23,65,,,,,,2,9,4,6,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5BL,,,,,,,,3,1,,,,,,,,,1,,,2,,,,13,,1,,,,,,2,,3,,1,,5,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5BR,4,1,,,,,8,,,,,,,,2,,16,,,,,2,,,,3,3,32,,4,,,,5,,4,,3,,3,,1,,,,,,,,,,,,,,,,,,,,,,,5,,43,,,13,2,,,,,,,,,,,,,,,,4,3,5,,,,,5,22,,8,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6AL,,,,,,,,,,,,,,,,,,,3,,5,2,,,28,15,,,,,,,,,1,,,,18,,,,,,,,,,,,,,,,,,5,5,1,,,,,,,,17,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6AR,,,,,,,,,,,,,,,,,,,,3,,1,,,4,44,6,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,4,34,10,,,,,,,17,26,,6,1,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6BL,,,,,,,,,,,,,,,2,13,,46,,1,,,,,,,5,2,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6BR,,,,1,,,2,,,,,,,,,,14,22,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,39,10,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7AL,,,,,,3,,6,,,,,,,,,,,6,,9,5,,,3,8,5,5,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,3,4,3,,,4,6,,,2,16,,1,9,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7AR,,,,,,8,,,14,,,2,,,6,,,,,5,18,26,,1,11,2,,8,4,2,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,6,6,,,11,10,,2,,24,,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,
R7BL,1,,,,,2,,12,,,,,,,,,13,1,7,8,14,5,8,,17,2,8,40,,2,2,,,,1,,7,,,,,,,,,,,,,,,,,,,,1,2,11,,,,15,,5,6,48,,19,34,,,,,,,,,,,,,,,,,3,3,,,,,,11,6,5,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
